iter	Passed	Remaining
597	27926	18773
598	27974	18727
599	28012	18674
600	28054	18625
601	28111	18585
602	28155	18536
603	28189	18481
604	28242	18439
605	28291	18394
606	28345	18352
607	28373	18293
608	28424	18249
609	28467	18200
610	28518	18156
611	28565	18110
612	28605	18059
613	28639	18004
614	28677	17952
615	28726	17907
616	28774	17861
617	28819	17814
618	28858	17762
619	28910	17719
620	28961	17675
621	29004	17626
622	29052	17580
623	29096	17532
624	29145	17487
625	29188	17438
626	29235	17391
627	29289	17349
628	29335	17302
629	29385	17258
630	29438	17214
631	29486	17169
632	29535	17124
633	29576	17073
634	29628	17030
635	29678	16985
636	29720	16936
637	29766	16889
638	29809	16840
639	29854	16793
640	29903	16748
641	29953	16702
642	30004	16658
643	30047	16609
644	30092	16562
645	30141	16517
646	30172	16461
647	30222	16417
648	30276	16374
649	30320	16326
650	30351	16271
651	30402	16227
652	30451	16181
653	30501	16136
654	30552	16092
655	30596	16044
656	30644	15998
657	30692	15952
658	30740	15906
659	30791	15862
660	30821	15806
661	30865	15759
662	30914	15713
663	30965	15669
664	31018	15626
665	31068	15581
666	31113	15533
667	31169	15491
668	31203	15438
669	31248	15391
670	31300	15346
671	31350	15301
672	31399	15256
673	31440	15207
674	31489	15161
675	31551	15122
676	31607	15080
677	31657	15034
678	31705	14988
679	31755	14943
680	31813	14902
681	31848	14850
682	31897	14804
683	31946	14759
684	31995	14713
685	32042	14666
686	32091	14620
687	32147	14578
688	32181	14526
689	32216	14474
690	32269	14430
691	32315	14382
692	32365	14338
693	32413	14291
694	32453	14242
695	32502	14196
696	32538	14145
697	32585	14098
698	32629	14050
699	32674	14003
700	32720	13956
701	32774	13912
702	32807	13860
703	32856	13814
704	32902	13767
705	32936	13715
706	32991	13672
707	33038	13625
708	33085	13579
709	33131	13532
710	33181	13487
711	33234	13443
712	33281	13396
713	33328	13350
714	33379	13305
715	33422	13256
716	33468	13210
717	33516	13163
718	33566	13118
719	33619	13074
